,neighbourhood,latitude,longitude,room_type,price
22716,Vesterbro-Kongens Enghave,55.67083,12.55878,Entire home/apt,849
22717,Valby,55.66146,12.50269,Entire home/apt,1201
22718,Vesterbro-Kongens Enghave,55.66473000000001,12.54473,Entire home/apt,971
22719,Vesterbro-Kongens Enghave,55.65734000000001,12.53681,Private room,340
22720,sterbro,55.69754,12.57191,Entire home/apt,849
22721,Amager st,55.64168000000001,12.62319,Entire home/apt,401
22722,Vesterbro-Kongens Enghave,55.66444,12.54595,Private room,498
22723,sterbro,55.70959000000001,12.57096,Entire home/apt,849
22724,sterbro,55.7095,12.56031,Entire home/apt,1311
22725,Nrrebro,55.69362,12.54594,Entire home/apt,502
22726,Valby,55.66526,12.50183,Entire home/apt,1100
22727,Bispebjerg,55.69775,12.5292,Entire home/apt,703
22728,Indre By,55.69017,12.57059,Entire home/apt,1100
22729,Amager st,55.6493,12.61299,Entire home/apt,1249
22730,Nrrebro,55.6961,12.53909,Private room,299
22731,Frederiksberg,55.6732,12.4947,Entire home/apt,1003
22732,Nrrebro,55.69143,12.55491,Entire home/apt,801
22733,Frederiksberg,55.68634,12.52641,Private room,287
22734,sterbro,55.69385,12.57012,Entire home/apt,665
22735,Frederiksberg,55.67409,12.50714,Entire home/apt,550
22736,sterbro,55.70687,12.5654,Entire home/apt,699
22737,Nrrebro,55.69429,12.53971,Entire home/apt,600
22738,Vesterbro-Kongens Enghave,55.65163,12.54947,Entire home/apt,2003
22739,Indre By,55.67087,12.57518,Entire home/apt,2057
22740,Vesterbro-Kongens Enghave,55.66915,12.55587,Entire home/apt,441
22741,Indre By,55.68657,12.58353,Entire home/apt,1003
22742,Valby,55.65317,12.52077,Entire home/apt,1003
22743,Vesterbro-Kongens Enghave,55.66531,12.54621,Entire home/apt,1590
22744,sterbro,55.69947,12.58648,Entire home/apt,1003
22745,Brnshj-Husum,55.70325,12.49035,Entire home/apt,1003
22746,Indre By,55.68254,12.59478,Entire home/apt,2422
22747,Indre By,55.68211,12.58115,Entire home/apt,2438
22748,Frederiksberg,55.68001,12.52227,Entire home/apt,713
22749,Vesterbro-Kongens Enghave,55.67275,12.5519,Entire home/apt,1501
22750,Valby,55.66234,12.48267,Entire home/apt,401
22751,Indre By,55.68043,12.59206,Entire home/apt,1501
22752,Indre By,55.67892,12.57558,Entire home/apt,1602
22753,Amager st,55.66223000000001,12.62904,Private room,198
22754,Frederiksberg,55.67821,12.5401,Entire home/apt,901
22755,Nrrebro,55.6879,12.55949,Entire home/apt,1003
22756,Indre By,55.67717,12.5979,Entire home/apt,550
22757,Frederiksberg,55.6859,12.53201,Entire home/apt,703
22758,Vesterbro-Kongens Enghave,55.67008000000001,12.54785,Entire home/apt,703
22759,Amager st,55.66541,12.6038,Entire home/apt,901
22760,Amager st,55.66208,12.62086,Entire home/apt,1052
22761,Amager Vest,55.66091,12.58492,Private room,502
22762,Brnshj-Husum,55.72231,12.48694,Private room,747
22763,Nrrebro,55.69619,12.53812,Entire home/apt,998
22764,Valby,55.67464,12.49008,Entire home/apt,998
22765,Vesterbro-Kongens Enghave,55.66881,12.55358,Entire home/apt,996
22766,Indre By,55.68621,12.56675,Entire home/apt,998
22767,sterbro,55.70978,12.59748,Private room,523
22768,Amager Vest,55.66608000000001,12.59254,Entire home/apt,598
